trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2032,False,"{'a': 0.4, 'e': 0.024186202504088206}",30,12,25.465650950076345,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
2033,False,"{'a': 0.4, 'e': 0.02414191990582818}",30,20,21.75566917056591,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2034,False,"{'a': 0.4, 'e': 0.024097718384723958}",20,9,19.949049859554137,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2035,False,"{'a': 0.4, 'e': 0.024053597792331082}",30,14,30.034985456455615,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2036,False,"{'a': 0.4, 'e': 0.024009557980476947}",30,16,27.068364206588107,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2037,False,"{'a': 0.4, 'e': 0.023965598801260177}",20,12,17.338461806597856,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2038,False,"{'a': 0.4, 'e': 0.023921720107050216}",30,22,14.744420489871178,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2039,False,"{'a': 0.4, 'e': 0.02387792175048677}",30,19,17.45229087871622,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2040,False,"{'a': 0.4, 'e': 0.023834203584479418}",30,18,24.656336756293523,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2041,False,"{'a': 0.4, 'e': 0.023790565462206988}",20,8,18.873998769143853,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2042,False,"{'a': 0.4, 'e': 0.02374700723711714}",20,13,1.2000290207212811,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
2043,False,"{'a': 0.4, 'e': 0.023703528762925835}",20,14,9.204015197837112,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2044,False,"{'a': 0.4, 'e': 0.023660129893616932}",20,11,14.746810682478186,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2045,False,"{'a': 0.4, 'e': 0.023616810483441567}",20,7,21.19426600811972,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2046,False,"{'a': 0.4, 'e': 0.023573570386917746}",20,2,23.15208210766921,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2047,False,"{'a': 0.4, 'e': 0.02353040945882983}",25,13,21.4056053055045,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2048,False,"{'a': 0.4, 'e': 0.0234873275542281}",30,20,16.857484073559824,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2049,False,"{'a': 0.4, 'e': 0.023444324528428175}",20,2,27.385590422609244,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2050,False,"{'a': 0.4, 'e': 0.023401400237010598}",25,9,25.69489076200923,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2051,False,"{'a': 0.4, 'e': 0.023358554535820322}",20,11,-6.214583629487665,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
2052,False,"{'a': 0.4, 'e': 0.023315787280966227}",30,16,27.171634859355223,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2053,False,"{'a': 0.4, 'e': 0.023273098328820692}",20,15,10.38081314925365,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2054,False,"{'a': 0.4, 'e': 0.02323048753601901}",25,12,22.065758549917824,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
